 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.4400000000000000E+0002  0.2153982945252917E+0002  0.2279712148495364E+0002  0.2275545175685654E+0002  0.2289418873184673E+0002  0.1855000000000000E+0002
  0.4500000000000000E+0002  0.2122159917899879E+0002  0.2242586771792100E+0002  0.2240715314540061E+0002  0.2252187666182144E+0002  0.1755000000000000E+0002
  0.4600000000000000E+0002  0.2105764002045782E+0002  0.2225861043382095E+0002  0.2224922571619444E+0002  0.2235446813988539E+0002  0.1750000000000000E+0002
  0.4700000000000000E+0002  0.2091192285013658E+0002  0.2209486339328029E+0002  0.2209345106944020E+0002  0.2219111201185271E+0002  0.1735000000000000E+0002
  0.4800000000000000E+0002  0.2078180570731226E+0002  0.2197139970974306E+0002  0.2197242006473523E+0002  0.2206828160273888E+0002  0.1735000000000000E+0002
  0.4900000000000000E+0002  0.2067476847986426E+0002  0.2186017060103556E+0002  0.2186449777969652E+0002  0.2195781883927058E+0002  0.1750000000000000E+0002
  0.5000000000000000E+0002  0.2050521276692986E+0002  0.2172312123610789E+0002  0.2172779655919081E+0002  0.2182160820822324E+0002  0.1650000000000000E+0002
  0.5100000000000000E+0002  0.2029190337857546E+0002  0.2156023152092986E+0002  0.2156461326016565E+0002  0.2165964643072407E+0002  0.1550000000000000E+0002
  0.5200000000000000E+0002  0.2011472171304191E+0002  0.2142049287977540E+0002  0.2142531731687741E+0002  0.2152092434560691E+0002  0.1500000000000000E+0002
  0.5300000000000000E+0002  0.1998022265683618E+0002  0.2130643282529969E+0002  0.2131319649274051E+0002  0.2140792871580595E+0002  0.1505000000000000E+0002
  0.5400000000000000E+0002  0.1989646088610548E+0002  0.2122516107730256E+0002  0.2123422550737638E+0002  0.2132771726439115E+0002  0.1555000000000000E+0002
  0.5500000000000000E+0002  0.1979512916064306E+0002  0.2113621003168353E+0002  0.2114707600102169E+0002  0.2123979450911482E+0002  0.1550000000000000E+0002
  0.5600000000000000E+0002  0.1977679633030918E+0002  0.2110894047003287E+0002  0.2112018056534460E+0002  0.2121369341456595E+0002  0.1525000000000000E+0002
  0.5700000000000000E+0002  0.2018081212867849E+0002  0.2137217866437101E+0002  0.2137908107355751E+0002  0.2148016867269440E+0002  0.1725000000000000E+0002
  0.5800000000000000E+0002  0.2085895674166083E+0002  0.2182468709840555E+0002  0.2182912733012886E+0002  0.2194157653554544E+0002  0.1900000000000000E+0002
  0.5900000000000000E+0002  0.2126170395192326E+0002  0.2210684933226628E+0002  0.2210588953529300E+0002  0.2223618861237115E+0002  0.1960000000000000E+0002
  0.6000000000000000E+0002  0.2171220632371590E+0002  0.2242599684628781E+0002  0.2241465903372676E+0002  0.2256887184199437E+0002  0.2010000000000000E+0002
  0.6100000000000000E+0002  0.2199749765476519E+0002  0.2263069781720666E+0002  0.2261473255683618E+0002  0.2278705224154176E+0002  0.2050000000000000E+0002
