 SUMMARY FOR UNIT  76
 Time                      F1相对湿度                F2相对湿度                F3相对湿度                F4相对湿度                室外相对湿度
  0.5400000000000000E+0002  0.5637380565422009E+0002  0.5521237375153187E+0002  0.5223775709275900E+0002  0.5486614781545725E+0002  0.8550000000000000E+0002
  0.5500000000000000E+0002  0.5672919667735377E+0002  0.5551466132082346E+0002  0.5251792915476861E+0002  0.5516282175703772E+0002  0.8500000000000000E+0002
  0.5600000000000000E+0002  0.5679376244573898E+0002  0.5560770576638055E+0002  0.5260473496588990E+0002  0.5525124077313202E+0002  0.8800000000000000E+0002
  0.5700000000000000E+0002  0.5551352921785372E+0002  0.5489910677446438E+0002  0.5189744875063722E+0002  0.5453708123656491E+0002  0.8050000000000000E+0002
  0.5800000000000000E+0002  0.5347606414013257E+0002  0.5375454968209846E+0002  0.5072463375391122E+0002  0.5337230401632583E+0002  0.7300000000000000E+0002
  0.5900000000000000E+0002  0.5240047364092600E+0002  0.5318552350040069E+0002  0.5010799825350583E+0002  0.5276812272134413E+0002  0.6950000000000000E+0002
  0.6000000000000000E+0002  0.5119970330033045E+0002  0.5250394535227545E+0002  0.4940328448983121E+0002  0.5205008976827601E+0002  0.6700000000000000E+0002
  0.6100000000000000E+0002  0.5053663864202781E+0002  0.5219248416475330E+0002  0.4903193987591386E+0002  0.5169975352686963E+0002  0.6600000000000000E+0002
  0.6200000000000000E+0002  0.4938160171356016E+0002  0.5050972788582040E+0002  0.4736483153768661E+0002  0.4999913926231034E+0002  0.6200000000000000E+0002
  0.6300000000000000E+0002  0.4720036959496726E+0002  0.4797303405860986E+0002  0.4489367741980578E+0002  0.4746660149922028E+0002  0.6400000000000000E+0002
  0.6400000000000000E+0002  0.4653426361137040E+0002  0.4654631285349577E+0002  0.4350818768747538E+0002  0.4605247319101737E+0002  0.7300000000000000E+0002
  0.6500000000000000E+0002  0.4630506723355370E+0002  0.4499405749205089E+0002  0.4200457981870770E+0002  0.4452394906268082E+0002  0.7500000000000000E+0002
  0.6600000000000000E+0002  0.4858597921317419E+0002  0.4758552852386281E+0002  0.4435944293267953E+0002  0.4708927402640761E+0002  0.7500000000000000E+0002
  0.6700000000000000E+0002  0.5130058123549924E+0002  0.5100975434497277E+0002  0.4750563681966756E+0002  0.5047974240433641E+0002  0.8050000000000000E+0002
  0.6800000000000000E+0002  0.5214595372058847E+0002  0.5198984047782403E+0002  0.4826719297334356E+0002  0.5145417807059486E+0002  0.8350000000000000E+0002
  0.6900000000000000E+0002  0.5306557775789732E+0002  0.5321072482161410E+0002  0.4928560909258323E+0002  0.5266318931200749E+0002  0.8350000000000000E+0002
  0.7000000000000000E+0002  0.5346409648299978E+0002  0.5363318012581843E+0002  0.4965138553565960E+0002  0.5308077151705014E+0002  0.8550000000000000E+0002
  0.7100000000000000E+0002  0.5421080467908101E+0002  0.5431880291605513E+0002  0.5026680691344868E+0002  0.5375708028666190E+0002  0.8700000000000000E+0002
  0.7200000000000000E+0002  0.5476992991694721E+0002  0.5479180041676346E+0002  0.5070288428170882E+0002  0.5422249886586285E+0002  0.8450000000000000E+0002
  0.7300000000000000E+0002  0.5496142842514598E+0002  0.5507351264840661E+0002  0.5094754839645459E+0002  0.5449849458745742E+0002  0.8300000000000000E+0002
  0.7400000000000000E+0002  0.5557203492383428E+0002  0.5555389786757936E+0002  0.5139040109803435E+0002  0.5497072417292848E+0002  0.8650000000000000E+0002
  0.7500000000000000E+0002  0.5637739211214105E+0002  0.5615128660605821E+0002  0.5194625459554857E+0002  0.5555829530714468E+0002  0.8900000000000000E+0002
  0.7600000000000000E+0002  0.5662989943875948E+0002  0.5642565570269584E+0002  0.5219310587227567E+0002  0.5582646779757474E+0002  0.8800000000000000E+0002
  0.7700000000000000E+0002  0.5691149033841486E+0002  0.5670900056349821E+0002  0.5244483504347848E+0002  0.5610356502849153E+0002  0.8800000000000000E+0002
  0.7800000000000000E+0002  0.5721820505012075E+0002  0.5699222055985792E+0002  0.5270387358886395E+0002  0.5638066706319712E+0002  0.8550000000000000E+0002
  0.7900000000000000E+0002  0.5738512199650276E+0002  0.5719236807676639E+0002  0.5288260361875209E+0002  0.5657581611406746E+0002  0.8550000000000000E+0002
  0.8000000000000000E+0002  0.5747557780873962E+0002  0.5730251234141133E+0002  0.5298403926292335E+0002  0.5668207630485163E+0002  0.8850000000000000E+0002
  0.8100000000000000E+0002  0.5595991014059788E+0002  0.5639488169342247E+0002  0.5212006879754252E+0002  0.5578053474026914E+0002  0.8350000000000000E+0002
  0.8200000000000000E+0002  0.5383027520449999E+0002  0.5514772380818770E+0002  0.5088858942456891E+0002  0.5453171884962396E+0002  0.7100000000000000E+0002
  0.8300000000000000E+0002  0.5263813811869878E+0002  0.5448724826517801E+0002  0.5021212857742435E+0002  0.5384379762673841E+0002  0.6150000000000000E+0002
  0.8400000000000000E+0002  0.5183111276334407E+0002  0.5405403588187666E+0002  0.4976151149521672E+0002  0.5336972457509216E+0002  0.6400000000000000E+0002
  0.8500000000000000E+0002  0.5043083292887881E+0002  0.5320137059644138E+0002  0.4891310962782347E+0002  0.5248705506710029E+0002  0.6700000000000000E+0002
  0.8600000000000000E+0002  0.4872918734075260E+0002  0.5127990200431294E+0002  0.4707080819959423E+0002  0.5056775825255657E+0002  0.5550000000000000E+0002
  0.8700000000000000E+0002  0.4663828020034369E+0002  0.4843885158987232E+0002  0.4438978440704452E+0002  0.4775684099116624E+0002  0.5300000000000000E+0002
  0.8800000000000000E+0002  0.4570375567814450E+0002  0.4675106854684630E+0002  0.4279913072531274E+0002  0.4609187448285384E+0002  0.6650000000000000E+0002
  0.8900000000000000E+0002  0.4672222691942640E+0002  0.4745885384215163E+0002  0.4342045888250029E+0002  0.4679311832911191E+0002  0.6600000000000000E+0002
  0.9000000000000000E+0002  0.4896535640278976E+0002  0.5012617958450839E+0002  0.4581089501892625E+0002  0.4942686592388304E+0002  0.6850000000000000E+0002
  0.9100000000000000E+0002  0.5109223689796455E+0002  0.5249802058665210E+0002  0.4788386512497486E+0002  0.5177081621940630E+0002  0.7550000000000000E+0002
  0.9200000000000000E+0002  0.5206073662245350E+0002  0.5366605826778287E+0002  0.4882073165617526E+0002  0.5292690693636981E+0002  0.7200000000000000E+0002
  0.9300000000000000E+0002  0.5295118190845988E+0002  0.5467759582395718E+0002  0.4964552504026904E+0002  0.5392578902377013E+0002  0.7950000000000000E+0002
  0.9400000000000000E+0002  0.5342448825565537E+0002  0.5519167178580297E+0002  0.5008342591311282E+0002  0.5443287626886282E+0002  0.8050000000000000E+0002
  0.9500000000000000E+0002  0.5389507956725627E+0002  0.5565883736443948E+0002  0.5049312142375466E+0002  0.5489290793536745E+0002  0.7500000000000000E+0002
  0.9600000000000000E+0002  0.5437517009710147E+0002  0.5609698330648126E+0002  0.5088319328042895E+0002  0.5532398703998179E+0002  0.7250000000000000E+0002
  0.9700000000000000E+0002  0.5466785401498439E+0002  0.5640935656156331E+0002  0.5115949694124672E+0002  0.5563107718354091E+0002  0.7050000000000000E+0002
  0.9800000000000000E+0002  0.5505322798905771E+0002  0.5676181253190339E+0002  0.5147422218774751E+0002  0.5597758954620172E+0002  0.7650000000000000E+0002
  0.9900000000000000E+0002  0.5545273888879437E+0002  0.5711436038675649E+0002  0.5179247253887797E+0002  0.5632414882953917E+0002  0.7650000000000000E+0002
  0.1000000000000000E+0003  0.5558045130305864E+0002  0.5729983052205122E+0002  0.5195422859187494E+0002  0.5650625641191188E+0002  0.7550000000000000E+0002
  0.1010000000000000E+0003  0.5589194278044934E+0002  0.5758598122320537E+0002  0.5220972046667338E+0002  0.5678755682896753E+0002  0.8250000000000000E+0002
  0.1020000000000000E+0003  0.5624752670667793E+0002  0.5789332022919345E+0002  0.5248887439333382E+0002  0.5708973364171697E+0002  0.8250000000000000E+0002
  0.1030000000000000E+0003  0.5635007231467581E+0002  0.5805026796205700E+0002  0.5262563587517786E+0002  0.5724390739232662E+0002  0.7800000000000000E+0002
  0.1040000000000000E+0003  0.5635361579207871E+0002  0.5810239214043850E+0002  0.5267147021274909E+0002  0.5729486562143579E+0002  0.8150000000000000E+0002
  0.1050000000000000E+0003  0.5489907365825758E+0002  0.5717781993634197E+0002  0.5181626714274469E+0002  0.5638210822489447E+0002  0.7700000000000000E+0002
  0.1060000000000000E+0003  0.5270796634882616E+0002  0.5579427256423152E+0002  0.5049877905763130E+0002  0.5500777430293380E+0002  0.7100000000000000E+0002
  0.1070000000000000E+0003  0.5142787817284096E+0002  0.5498945151892298E+0002  0.4971851760477691E+0002  0.5418968160767292E+0002  0.6950000000000000E+0002
  0.1080000000000000E+0003  0.5061044088552518E+0002  0.5450161468141714E+0002  0.4923903021997762E+0002  0.5367415787675747E+0002  0.6950000000000000E+0002
