 SUMMARY FOR UNIT  62
 Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
  0.1344000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1368000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3389999749174721E+0003  0.3722999724533612E+0003  0.2384078890839661E+0003  0.1655000000000000E+0003  0.1115207836454799E+0004
  0.1392000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.4109999695903609E+0003  0.4624999657794723E+0003  0.3493376612061821E+0003  0.2025000000000000E+0003  0.1425337596576015E+0004
  0.1416000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.4109999695903610E+0003  0.4624999657794723E+0003  0.3539917515176232E+0003  0.2025000000000000E+0003  0.1429991686887457E+0004
  0.1440000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1477144829210323E+0004  0.1100000000000000E+0003  0.2055144794582656E+0004
  0.1464000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1720246239260671E+0004  0.1100000000000000E+0003  0.2298246204633005E+0004
  0.1488000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1512000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1536000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1675109778522199E+0004  0.1100000000000000E+0003  0.2253109743894532E+0004
  0.1560000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1616999880356972E+0003  0.1658999877249361E+0003  0.5191076338335394E+0003  0.7700000000000000E+0002  0.9237076095941727E+0003
  0.1584000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.8590388299936128E+0003  0.1100000000000000E+0003  0.1437038795365946E+0004
